hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,setLevel,userResp,RT,evaluation,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,24,24,49,1,True,1,True,1.9728787101339549,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,25,25,6,1,False,,False,1.2107970349024981,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,26,26,14,1,True,1,True,1.591439340962097,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,27,27,27,1,True,1,True,1.378147155046463,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,28,28,45,1,True,1,True,1.608260998968035,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,29,29,39,1,True,1,True,1.6237828291486949,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,30,30,2,1,True,1,True,1.0730072159785777,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,31,31,13,1,False,,False,1.6450416939333081,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,32,32,35,1,True,0,True,1.0060771801508963,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,33,33,12,1,True,1,True,2.5828479521442205,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,34,34,37,1,False,,False,1.2103368691168725,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,35,35,10,1,False,,False,1.7460577788297087,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>]",0,36,36,31,1,True,0,True,0.8952545099891722,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,37,37,5,1,False,,False,1.2333765840157866,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,38,38,25,1,False,,False,1.0815199359785765,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,39,39,19,1,True,1,True,1.2264737500809133,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,40,40,29,1,False,,False,1.407571119023487,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>]",0,41,41,23,1,True,0,True,0.9211796580348164,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,42,42,15,1,False,,False,1.6048966059461236,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,43,43,32,1,False,,True,1.3757578930817544,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,44,44,48,1,False,,False,1.5998183840420097,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,45,45,44,1,False,,False,1.6714106409344822,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,46,46,3,1,True,1,True,1.1495017078705132,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>]",0,47,47,20,1,False,,False,1.3263357940595597,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,48,48,18,1,True,0,True,1.00390789587982,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,49,49,41,1,False,,False,1.0520694840233773,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7f10>]",0,0,0,16,2,False,,False,4.6152469189837575,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7d90>]",0,1,1,11,2,False,,False,3.243788444902748,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7df0>]",0,2,2,48,2,False,,False,1.1816651560366154,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,3,3,32,2,False,,False,1.4465411670971662,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7df0>]",0,4,4,44,2,False,,False,3.104144066106528,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7e50>]",0,5,5,21,2,False,,False,2.5537516409531236,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7e50>]",0,6,6,43,2,False,,True,1.4754625500645489,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7e50>]",0,7,7,0,2,True,2,True,3.538433887064457,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7f10>]",0,8,8,27,2,False,,False,2.315782566089183,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7d90>]",0,9,9,20,2,True,2,True,2.5209829180967063,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,10,10,25,2,False,,False,1.697329733055085,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7eb0>]",0,11,11,37,2,False,,False,2.400889608077705,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7d90>]",0,12,12,28,2,True,2,True,2.3405563589185476,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7eb0>]",0,13,13,10,2,True,1,True,3.4740412349347025,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,14,14,34,2,False,,False,2.063104039989412,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7df0>]",0,15,15,8,2,True,2,True,2.670241849962622,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,16,16,36,2,True,1,True,2.3210574358236045,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,17,17,18,2,True,2,True,3.862557429820299,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7d30>]",0,18,18,13,2,False,,True,2.8971539998892695,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7d30>]",0,19,19,24,2,True,1,True,2.447331022936851,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,20,20,49,2,True,2,True,4.8723989189602435,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7f10>]",0,21,21,1,2,False,,False,1.4925135949160904,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7b80>]",0,22,22,4,2,True,1,True,4.242153910920024,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7d90>]",0,23,23,7,2,True,2,True,3.2379444839898497,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7d90>]",0,24,24,42,2,False,,False,4.050848708953708,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7eb0>]",0,25,25,19,2,False,,False,3.3125286290887743,correct,JW,24,2023-07-27_12h39.32.055,Standard,
